start_city,start_cnt
350124,49
350125,14
350128,38
350181,177
350182,117
350200,3860
350203,12
350205,44
350206,28
350211,62
350212,119
350213,31
350300,1460
350302,6
350303,37
350304,8
350305,10
350322,36
350400,1649
350402,10
350403,19
350421,22
350423,36
350424,59
350425,25
350426,63
350427,37
350428,37
350429,40
350430,163
350481,93
350500,5740
350502,19
350503,9
350504,9
350505,37
350521,78
350524,27
350525,28
350526,28
350527,5
350581,48
350582,304
350583,195
350600,3423
350602,36
350603,18
350622,28
350623,74
350624,27
350625,65
350626,19
350627,16
350628,35
350629,6
350681,50
350700,2059
350702,36
350721,35
350722,153
350723,42
350724,70
350725,55
350781,99
350782,54
350783,128
350784,64
350800,1130
350802,30
350821,77
350822,16
350823,27
350824,32
350825,42
350881,48
350900,1776
350902,22
350921,63
350922,130
350923,31
350924,11
350925,9
350926,12
350981,117
350982,237
360000,3667
360100,9509
360102,42
360103,24
360104,41
360105,18
360111,33
360121,144
360122,52
360123,248
360124,149
360200,2371
360202,13
360203,4
360222,28
360281,169
360300,1848
360302,19
360313,25
360321,31
360322,28
360323,28
360400,4483
360402,29
360403,18
360421,75
360423,107
360424,194
360425,88
360426,65
360427,61
360428,137
360429,97
360430,85
360481,75
360482,49
360500,1537
360502,19
360521,20
360600,1920
360602,7
360622,31
360681,75
360700,4254
360702,76
360721,50
360722,88
360723,32
360724,23
360725,17
360726,64
360727,79
360728,58
360729,28
360730,282
360731,79
360732,71
360733,92
360734,128
360735,137
360781,264
360782,172
360800,2523
360802,28
360803,9
360821,37
360822,26
360823,38
360824,109
360825,92
360826,40
360827,50
360828,23
360829,42
360830,40
360881,32
360900,6293
360902,116
360921,130
360922,127
360923,340
360924,296
360925,52
360926,41
360981,411
360982,328
360983,1140
361000,3433
361002,55
361021,202
361022,85
361023,180
361024,41
361025,38
361026,68
361027,62
361028,26
361029,250
361030,111
361100,4874
361102,41
361121,139
361122,118
361123,165
361124,86
361125,58
361126,174
361127,142
361128,276
361129,146
361130,192
361181,178
370000,5444
370100,10220
370102,44
370103,21
370104,34
370105,122
370112,108
370113,111
370124,180
370125,284
370126,274
370181,1178
370200,11617
370202,16
370203,31
370205,20
370211,1081
370212,33
370213,48
370214,291
370281,846
370282,343
370283,1122
370284,440
370285,525
370300,13592
370302,341
370303,828
370304,288
370305,387
370306,399
370321,300
370322,253
370323,776
370400,6331
370402,66
370403,75
370404,58
370405,115
370406,52
370481,926
370500,3338
370502,69
370503,69
370521,43
370522,83
370523,530
370600,6784
370602,73
370611,70
370612,57
370613,40
370634,6
370681,491
370682,408
370683,690
370684,133
370685,216
370686,194
370687,137
370700,15354
370702,221
370703,97
370704,97
370705,38
370724,811
370725,352
370781,1249
370782,1333
370783,1341
370784,764
370785,685
370786,318
370800,9639
370802,33
370811,108
370826,146
370827,255
370828,808
370829,208
370830,242
370831,283
370832,318
370881,357
370882,268
370883,249
370900,5238
370902,81
370911,93
370921,109
370923,182
370982,471
370983,314
371000,2635
371002,39
371081,111
371082,114
371083,104
371100,6574
371102,190
371103,411
371121,888
371122,873
371200,2494
371202,45
371203,55
371300,26665
371302,790
371311,630
371312,830
371321,695
371322,909
371323,1160
371324,1068
371325,406
371326,1033
371327,905
371328,917
371329,570
371400,6005
371402,140
371421,56
371422,201
371423,272
371424,129
371425,440
371426,127
371427,216
371428,98
371481,230
371482,158
371500,6830
371502,81
371521,106
371522,295
371523,159
371524,62
371525,171
371526,245
371581,187
371600,7395
371602,175
371621,299
371622,164
371623,290
371624,175
371625,696
371626,1754
371700,7180
371702,90
371721,306
371722,511
371723,138
371724,167
371725,250
371726,69
371727,74
371728,438
410000,4284
410100,17061
410102,59
410103,38
410104,99
410105,27
410106,69
410108,48
410122,542
410181,654
410182,169
410183,225
410184,400
410185,209
410200,6256
410202,13
410203,16
410204,10
410205,18
410211,7
410221,282
410222,648
410223,279
410224,59
410225,191
410300,4513
410302,14
410303,3
410304,7
410305,7
410306,18
410311,15
410322,14
410323,20
410324,45
410325,27
410326,62
410327,21
410328,26
410329,59
410381,93
410400,2518
410402,5
410403,2
410404,11
410411,5
410421,38
410422,44
410423,48
410425,37
410481,89
410482,207
410500,3665
410502,6
410503,5
410505,9
410506,4
410522,28
410523,68
410526,267
410527,211
410581,101
410600,964
410602,6
410603,4
410611,10
410621,73
410622,9
410700,4961
410702,11
410703,7
410704,10
410711,11
410721,32
410724,37
410725,118
410726,58
410727,72
410728,147
410781,48
410782,114
410800,4919
410802,6
410803,4
410804,8
410811,8
410821,35
410822,81
410823,101
410825,73
410882,103
410883,116
410900,2749
410902,11
410922,28
410923,42
410926,52
410927,87
410928,26
411000,4680
411002,13
411023,53
411024,177
411025,74
411081,244
411082,479
411100,3020
411102,12
411103,8
411104,14
411121,58
411122,161
411200,1236
411202,4
411221,58
411222,8
411224,36
411281,28
411282,63
411300,6376
411302,48
411303,31
411321,121
411322,105
411323,173
411324,115
411325,192
411326,98
411327,67
411328,237
411329,154
411330,96
411381,184
411400,8145
411402,70
411403,41
411421,243
411422,133
411423,219
411424,134
411425,158
411426,752
411481,845
411500,4213
411502,29
411503,71
411521,90
411522,94
411523,57
411524,96
411525,295
411526,202
411527,130
411528,97
411600,7580
411602,47
411621,514
411622,98
411623,75
411624,161
411625,135
411626,121
411627,734
411628,231
411681,148
411700,3704
411702,44
411721,102
411722,86
411723,66
411724,106
411725,67
411726,192
411727,46
411728,53
411729,115
419001,1070
419101,4
419102,4
419103,1
419104,1
419105,2
419107,3
419108,2
419109,2
419110,1
419111,1
420000,4105
420100,18594
420102,54
420103,25
420104,19
420105,127
420106,83
420107,91
420111,70
420112,1035
420113,80
420114,98
420115,259
420116,228
420117,155
420200,3571
420202,17
420203,14
420204,20
420205,8
420222,54
